Order_ID,Customer_ID,Product,Quantity,Unit_Price,Order_Date
41430,C0907,Monitor,3,3000,2025-07-21
44862,C0899,Mouse,2,25000,2025-06-10
13916,C0359,Headphones,4,3000,2025-06-10
98810,C0492,Mouse,2,500,2025-06-10
17579,C0391,Laptop,4,500,2025-07-16
49595,C0405,Headphones,4,1500,2025-07-15
74564,C0484,Tablet,2,500,2025-08-02
25616,C0678,Laptop,4,25000,2025-06-24
59811,C0608,Monitor,1,1500,2025-08-04
85018,C0264,Keyboard,4,1500,2025-06-16
68214,C0090,Headphones,1,1500,2025-06-13
51483,C0166,Laptop,3,12000,2025-07-20
85186,C0964,Monitor,5,1500,2025-07-27
90079,C0736,Headphones,4,12000,2025-07-29
43472,C0926,Keyboard,3,1500,2025-06-09
87402,C0178,Monitor,3,500,2025-06-09
51480,C0122,Tablet,4,70000,2025-06-26
30125,C0143,Tablet,5,70000,2025-06-30
94664,C0842,Tablet,2,500,2025-06-14
88211,C0674,Laptop,3,500,2025-06-16
51733,C0110,Keyboard,4,12000,2025-07-20
70573,C0820,Monitor,1,500,2025-07-27
67659,C0844,Keyboard,5,3000,2025-07-09
86650,C0885,Headphones,2,500,2025-07-22
58384,C0866,Laptop,4,12000,2025-07-04
33697,C0381,Monitor,1,1500,2025-07-21
38193,C0038,Mouse,3,25000,2025-06-21
71758,C0511,Laptop,3,25000,2025-07-23
81464,C0320,Headphones,1,3000,2025-08-01
41715,C0556,Mouse,1,1500,2025-07-28
91871,C0748,Keyboard,4,3000,2025-06-10
33136,C0337,Headphones,5,25000,2025-07-27
25331,C0459,Laptop,3,70000,2025-07-11
32396,C0561,Headphones,3,25000,2025-06-07
37465,C0564,Mouse,3,70000,2025-06-27
16016,C0552,Tablet,3,25000,2025-07-17
85426,C0824,Tablet,5,25000,2025-07-05
19159,C0048,Keyboard,1,25000,2025-07-06
94610,C0253,Mouse,5,1500,2025-07-03
14008,C0709,Laptop,5,3000,2025-07-16
45788,C0597,Laptop,2,500,2025-07-14
48807,C0433,Mouse,1,70000,2025-08-02
94445,C0173,Keyboard,3,25000,2025-07-10
76575,C0329,Monitor,3,500,2025-06-30
55829,C0939,Laptop,5,1500,2025-08-02
53191,C0619,Mouse,1,3000,2025-06-29
18433,C0580,Keyboard,2,70000,2025-07-26
94676,C0880,Keyboard,5,25000,2025-07-25
30471,C0106,Mouse,3,3000,2025-06-29
33393,C0474,Laptop,2,1500,2025-07-13
96490,C0055,Tablet,1,1500,2025-07-23
58255,C0832,Laptop,1,70000,2025-07-30
15943,C0911,Tablet,3,3000,2025-06-19
33645,C0941,Keyboard,2,1500,2025-06-18
96254,C0784,Headphones,4,25000,2025-06-08
39252,C0327,Laptop,1,25000,2025-06-23
12401,C0943,Tablet,1,25000,2025-07-11
11698,C0476,Keyboard,1,70000,2025-07-27
50121,C0730,Headphones,2,70000,2025-06-06
15503,C0251,Headphones,2,25000,2025-07-29
81798,C0787,Headphones,2,25000,2025-07-27
30399,C0489,Laptop,3,500,2025-07-24
33666,C0175,Mouse,4,1500,2025-06-30
94489,C0145,Keyboard,1,70000,2025-06-24
38851,C0981,Monitor,1,500,2025-06-23
11886,C0740,Monitor,3,1500,2025-06-06
16520,C0552,Mouse,4,500,2025-07-28
27398,C0875,Monitor,5,500,2025-08-02
54043,C0732,Tablet,4,70000,2025-07-01
73233,C0584,Tablet,2,12000,2025-06-20
43664,C0633,Monitor,3,70000,2025-07-31
52317,C0714,Mouse,3,12000,2025-07-16
87965,C0038,Tablet,2,3000,2025-06-19
19863,C0108,Tablet,5,3000,2025-07-18
49909,C0203,Tablet,5,70000,2025-07-25
51653,C0771,Monitor,3,25000,2025-07-18
34449,C0981,Mouse,3,1500,2025-06-23
82196,C0179,Tablet,1,1500,2025-07-08
88844,C0330,Tablet,4,1500,2025-06-06
43367,C0190,Laptop,3,25000,2025-06-13
29421,C0270,Keyboard,3,25000,2025-07-27
71536,C0581,Headphones,1,500,2025-07-11
52348,C0176,Keyboard,4,500,2025-06-17
67325,C0460,Laptop,1,3000,2025-07-24
60726,C0245,Keyboard,5,1500,2025-07-11
44246,C0969,Monitor,1,12000,2025-07-19
22790,C0862,Tablet,5,70000,2025-08-04
52154,C0925,Monitor,4,12000,2025-07-03
50078,C0946,Mouse,3,1500,2025-07-08
62818,C0795,Keyboard,4,3000,2025-07-12
97153,C0769,Tablet,2,70000,2025-06-26
30165,C0804,Monitor,2,3000,2025-06-30
59496,C0085,Laptop,5,70000,2025-07-19
91429,C0077,Keyboard,3,1500,2025-06-15
24482,C0382,Laptop,3,70000,2025-07-05
78375,C0685,Monitor,1,25000,2025-06-26
96975,C0588,Tablet,3,12000,2025-06-26
68731,C0784,Monitor,3,12000,2025-07-14
21666,C0248,Keyboard,1,25000,2025-06-27
95538,C0363,Laptop,2,500,2025-07-24
21877,C0552,Laptop,4,1500,2025-06-30
24515,C0653,Keyboard,3,25000,2025-07-25
82810,C0566,Mouse,1,1500,2025-06-07
35181,C0510,Mouse,1,3000,2025-07-18
87465,C0520,Tablet,2,500,2025-07-13
20811,C0853,Mouse,3,3000,2025-07-28
76018,C0412,Mouse,3,70000,2025-06-14
56575,C0435,Keyboard,5,70000,2025-07-12
56984,C0792,Monitor,3,25000,2025-06-09
86715,C0668,Laptop,3,1500,2025-07-02
98740,C0119,Headphones,5,70000,2025-06-26
89866,C0055,Keyboard,5,70000,2025-06-17
64526,C0348,Tablet,4,25000,2025-07-18
91219,C0868,Monitor,2,70000,2025-06-10
17749,C0180,Laptop,2,25000,2025-06-29
69811,C0203,Headphones,5,1500,2025-07-28
15763,C0712,Keyboard,2,70000,2025-07-19
74457,C0429,Mouse,4,3000,2025-07-29
68623,C0079,Keyboard,1,70000,2025-07-13
89712,C0154,Mouse,2,1500,2025-06-12
52011,C0136,Tablet,3,70000,2025-06-11
88697,C0777,Keyboard,4,500,2025-08-02
17539,C0554,Tablet,3,3000,2025-06-16
38272,C0122,Tablet,3,12000,2025-07-14
77682,C0902,Mouse,3,25000,2025-06-12
41516,C0727,Monitor,5,25000,2025-06-09
42414,C0389,Headphones,5,70000,2025-08-01
35721,C0215,Mouse,1,25000,2025-08-02
60760,C0224,Headphones,4,3000,2025-07-21
62531,C0064,Headphones,4,500,2025-06-30
61850,C0923,Headphones,2,500,2025-06-09
11205,C0282,Laptop,1,500,2025-06-09
96118,C0673,Keyboard,1,25000,2025-08-03
52311,C0482,Monitor,1,70000,2025-07-11
92193,C0747,Tablet,2,3000,2025-07-28
33006,C0016,Tablet,3,1500,2025-07-11
21121,C0774,Monitor,2,500,2025-06-18
34290,C0458,Headphones,3,12000,2025-06-18
27688,C0830,Laptop,2,1500,2025-07-27
98794,C0665,Monitor,4,1500,2025-06-26
60785,C0004,Headphones,5,12000,2025-06-16
44914,C0288,Headphones,1,1500,2025-06-10
33839,C0567,Monitor,3,500,2025-08-03
48568,C0644,Laptop,5,500,2025-07-16
75991,C0651,Headphones,5,70000,2025-07-03
58432,C0604,Laptop,2,70000,2025-06-08
31352,C0423,Monitor,2,70000,2025-06-13
78082,C0338,Headphones,4,70000,2025-06-14
50135,C0987,Mouse,1,1500,2025-06-14
56780,C0025,Mouse,2,12000,2025-06-26
44903,C0589,Mouse,5,500,2025-06-13
57075,C0661,Keyboard,1,70000,2025-07-27
48814,C0104,Mouse,1,3000,2025-07-22
22767,C0239,Tablet,4,1500,2025-07-19
91152,C0408,Keyboard,3,1500,2025-06-11
57724,C0033,Tablet,5,70000,2025-07-02
62350,C0142,Headphones,1,1500,2025-07-30
43977,C0312,Tablet,4,70000,2025-06-17
19112,C0176,Headphones,5,3000,2025-06-17
79828,C0363,Monitor,2,70000,2025-06-12
15417,C0356,Keyboard,1,500,2025-07-21
46035,C0336,Mouse,5,500,2025-06-26
69785,C0112,Mouse,3,12000,2025-07-05
99528,C0150,Laptop,2,70000,2025-06-09
98354,C0619,Monitor,3,70000,2025-06-20
72174,C0284,Headphones,2,25000,2025-06-07
41628,C0958,Keyboard,5,500,2025-07-11
68222,C0163,Headphones,5,70000,2025-07-22
57144,C0408,Laptop,2,500,2025-06-07
40497,C0499,Laptop,2,70000,2025-06-30
56352,C0351,Monitor,5,500,2025-07-18
85065,C0023,Tablet,1,12000,2025-06-23
87094,C0923,Tablet,3,70000,2025-07-05
68414,C0652,Headphones,5,1500,2025-08-04
36235,C0583,Headphones,4,12000,2025-07-02
41473,C0751,Monitor,4,500,2025-06-19
70274,C0610,Keyboard,2,500,2025-07-27
88221,C0749,Keyboard,5,12000,2025-06-09
20241,C0970,Tablet,1,70000,2025-07-15
84903,C0328,Headphones,2,70000,2025-06-13
18295,C0871,Headphones,3,500,2025-07-24
65004,C0928,Monitor,5,3000,2025-07-28
74766,C0378,Headphones,1,70000,2025-07-08
77639,C0571,Keyboard,1,25000,2025-07-19
85066,C0323,Mouse,3,1500,2025-06-18
82333,C0098,Mouse,4,70000,2025-07-12
41089,C0388,Monitor,1,1500,2025-07-06
50393,C0799,Headphones,2,70000,2025-07-27
78612,C0895,Mouse,5,500,2025-07-07
47226,C0166,Keyboard,1,12000,2025-08-01
47180,C0254,Monitor,3,1500,2025-07-18
93386,C0892,Headphones,2,12000,2025-08-02
61797,C0731,Headphones,2,12000,2025-07-08
85332,C0136,Monitor,1,1500,2025-07-06
66829,C0566,Monitor,4,25000,2025-06-13
69048,C0909,Headphones,5,500,2025-06-26
46016,C0489,Monitor,5,70000,2025-06-19
25069,C0466,Monitor,2,500,2025-07-25
30435,C0795,Keyboard,1,1500,2025-07-14
71406,C0681,Tablet,5,3000,2025-07-01
51912,C0085,Laptop,2,70000,2025-08-04
35840,C0567,Keyboard,3,500,2025-06-12
93159,C0730,Headphones,1,3000,2025-06-18
89007,C0597,Headphones,3,12000,2025-06-22
18456,C0234,Keyboard,3,25000,2025-08-01
74870,C0923,Tablet,3,70000,2025-06-29
60382,C0248,Laptop,1,70000,2025-06-22
18668,C0528,Headphones,5,500,2025-07-23
39614,C0007,Monitor,1,3000,2025-07-04
32176,C0894,Monitor,5,3000,2025-06-19
55015,C0238,Keyboard,5,500,2025-07-26
49777,C0503,Mouse,1,12000,2025-07-04
81004,C0071,Headphones,4,3000,2025-07-03
34254,C0594,Tablet,2,3000,2025-06-09
57712,C0908,Monitor,2,70000,2025-06-15
46476,C0985,Headphones,5,25000,2025-06-22
91772,C0439,Keyboard,2,500,2025-06-22
56169,C0012,Tablet,2,500,2025-07-02
95722,C0304,Tablet,3,500,2025-08-01
56837,C0208,Monitor,4,3000,2025-08-04
73138,C0585,Keyboard,3,70000,2025-06-07
12740,C0345,Mouse,5,500,2025-06-19
15777,C0727,Laptop,5,12000,2025-06-13
81377,C0793,Monitor,1,70000,2025-07-21
76556,C0166,Tablet,4,12000,2025-07-29
46588,C0902,Laptop,5,12000,2025-06-29
11217,C0383,Tablet,1,500,2025-07-25
47774,C0644,Headphones,2,12000,2025-07-20
37046,C0159,Mouse,4,500,2025-07-22
40370,C0620,Keyboard,5,25000,2025-07-04
83605,C0402,Headphones,3,25000,2025-06-07
19864,C0026,Monitor,1,70000,2025-06-18
92400,C0525,Keyboard,5,12000,2025-07-26
42965,C0065,Keyboard,2,1500,2025-06-19
73822,C0179,Headphones,5,1500,2025-07-16
97615,C0341,Tablet,5,500,2025-06-06
39690,C0457,Monitor,3,70000,2025-07-04
65630,C0282,Monitor,2,70000,2025-06-11
97098,C0807,Headphones,3,500,2025-07-11
51617,C0828,Headphones,5,12000,2025-07-26
54810,C0425,Headphones,4,3000,2025-07-28
26942,C0876,Headphones,5,3000,2025-06-08
26052,C0200,Mouse,4,25000,2025-06-08
19761,C0490,Tablet,2,12000,2025-06-13
13231,C0040,Tablet,4,12000,2025-07-19
99743,C0627,Keyboard,1,3000,2025-07-08
28946,C0031,Monitor,2,70000,2025-07-29
86730,C0797,Laptop,5,1500,2025-06-21
79583,C0693,Headphones,5,70000,2025-08-04
76285,C0333,Headphones,4,500,2025-07-18
38547,C0621,Headphones,1,70000,2025-07-04
53551,C0831,Laptop,5,1500,2025-07-10
23954,C0655,Tablet,1,500,2025-08-03
70228,C0188,Keyboard,2,70000,2025-07-26
35955,C0615,Headphones,4,1500,2025-06-16
32182,C0529,Laptop,1,12000,2025-07-07
89922,C0367,Mouse,4,500,2025-07-06
51101,C0900,Keyboard,4,12000,2025-07-24
28913,C0983,Headphones,4,3000,2025-07-25
62410,C0045,Monitor,1,500,2025-07-04
51982,C0593,Laptop,5,70000,2025-07-13
55445,C0658,Monitor,4,25000,2025-07-24
15075,C0859,Headphones,3,70000,2025-07-24
39661,C0310,Headphones,4,3000,2025-08-02
66067,C0351,Mouse,4,70000,2025-08-01
72264,C0786,Headphones,3,12000,2025-06-28
86753,C0519,Mouse,3,12000,2025-07-09
95356,C0756,Laptop,5,3000,2025-07-14
66282,C0672,Laptop,2,25000,2025-06-24
34438,C0180,Laptop,4,25000,2025-07-25
35045,C0615,Monitor,5,70000,2025-08-02
90182,C0580,Mouse,2,3000,2025-07-09
65914,C0849,Laptop,4,3000,2025-07-15
26692,C0671,Tablet,2,3000,2025-07-05
34694,C0245,Keyboard,5,12000,2025-06-06
92610,C0805,Keyboard,1,70000,2025-07-05
25617,C0504,Keyboard,2,12000,2025-07-03
91335,C0828,Mouse,2,12000,2025-08-03
43743,C0561,Headphones,3,1500,2025-06-23
95832,C0847,Tablet,3,1500,2025-07-03
